beta,lambda,gamma,mean_auroc,min_auroc,mean_recall,min_recall,mean_fpr,max_fpr
1.0,0.5,0.25,0.8910217760365162,0.3674794537118518,0.6765190275537072,0.0,0.05023117697695525,0.05437734866242512
0.25,0.25,1.0,0.8938432284830575,0.36645621859557864,0.6958822619040922,0.0,0.05055132272841174,0.05457888405203954
0.5,0.75,0.25,0.8965898761344008,0.36460439278594964,0.7149858736644805,0.0,0.049738531260286725,0.05039226608784894
0.75,0.0,0.75,0.842975261721312,0.3458521786008775,0.06671837483492885,0.0,0.050313784763689896,0.051343231339147685
0.75,0.25,0.5,0.8724153104740493,0.34320513073696646,0.4929185471512623,0.0,0.05002353269764602,0.051343231339147685
0.25,0.75,0.5,0.8969895433649724,0.33876866046857085,0.7080414737300593,0.0,0.04979130936066918,0.050921714674928044
0.25,0.5,0.75,0.8959904031051333,0.3346128169758376,0.7281083662392941,0.0,0.04982952918395379,0.05116583740993157
0.5,0.5,0.5,0.8934006305961866,0.33294157668020924,0.7213110058499181,0.0,0.049904804094836615,0.0511546877395437
0.5,0.25,0.75,0.8821781918153049,0.32728884677831666,0.5526372588075595,0.0,0.05022459631632883,0.05407246281282271
0.25,1.0,0.25,0.8817852421777967,0.32724628688402335,0.7042186715619223,0.0,0.049818423324312064,0.0508557994419177
0.5,0.0,1.0,0.8574153190777706,0.3266559057197457,0.2766520652486981,0.0,0.05112421155035866,0.056445206338587614
0.75,0.75,0.25,0.8920804927249169,0.3251914622096504,0.7154900092696462,0.0,0.049747012376620596,0.05038128977199448
1.0,0.0,0.75,0.8222578943502687,0.3230870345376594,0.06671837483492885,0.0,0.050313784763689896,0.051343231339147685
1.0,0.25,0.5,0.8509684455236363,0.3100919498427633,0.3502431566378224,0.0,0.05038466469124364,0.05343819373746299
0.25,0.5,1.0,0.8901877158094844,0.29922357038335734,0.7280866101882139,0.0,0.05200762582495255,0.07001720969576758
